audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
benefits_denial,unawareness_proxy_removal,age,disparate_impact_ratio,1.3209392061355751,3,3
benefits_denial,unawareness_proxy_removal,age,equal_opportunity_diff,0.00036231884057968955,0,3
benefits_denial,unawareness_proxy_removal,age,equalized_odds_diff,0.013223059567258453,2,3
benefits_denial,unawareness_proxy_removal,age,predictive_parity_diff,-0.0237167779242952,0,3
benefits_denial,unawareness_proxy_removal,age_x_race,intersectional_demographic_parity_diff,-0.025906767432191165,0,3
benefits_denial,unawareness_proxy_removal,national_origin,accuracy_equality_diff,0.03775459959410451,3,3
benefits_denial,unawareness_proxy_removal,national_origin,demographic_parity_diff,0.0007695378780317406,0,3
benefits_denial,unawareness_proxy_removal,national_origin,disparate_impact_ratio,1.0087689523805936,0,3
benefits_denial,unawareness_proxy_removal,national_origin,equal_opportunity_diff,0.05725144420796598,0,3
benefits_denial,unawareness_proxy_removal,national_origin,equalized_odds_diff,0.05725144420796598,0,3
benefits_denial,unawareness_proxy_removal,national_origin,predictive_parity_diff,-0.03863975840147068,0,3
benefits_denial,unawareness_proxy_removal,national_origin_x_age,intersectional_demographic_parity_diff,0.031254383236673434,0,3
benefits_denial,unawareness_proxy_removal,national_origin_x_race,intersectional_demographic_parity_diff,0.004134707574304897,0,3
benefits_denial,unawareness_proxy_removal,race,accuracy_equality_diff,0.09874386179742001,3,3
benefits_denial,unawareness_proxy_removal,race,demographic_parity_diff,-0.04816830808363636,3,3
benefits_denial,unawareness_proxy_removal,race,disparate_impact_ratio,0.5159098690343452,3,3
benefits_denial,unawareness_proxy_removal,race,equal_opportunity_diff,0.018727636805304797,0,3
benefits_denial,unawareness_proxy_removal,race,equalized_odds_diff,0.013802136932796923,0,3
benefits_denial,unawareness_proxy_removal,race,predictive_parity_diff,-0.033616417399253175,0,3
benefits_denial,unawareness_proxy_removal,sex,accuracy_equality_diff,0.12902166239838872,3,3
benefits_denial,unawareness_proxy_removal,sex,demographic_parity_diff,-0.05987932349569835,3,3
benefits_denial,unawareness_proxy_removal,sex,disparate_impact_ratio,0.4762769563306031,3,3
benefits_denial,unawareness_proxy_removal,sex,equal_opportunity_diff,0.013312693498452008,0,3
benefits_denial,unawareness_proxy_removal,sex,equalized_odds_diff,0.013312693498452008,0,3
benefits_denial,unawareness_proxy_removal,sex,predictive_parity_diff,-0.17660309153776163,3,3
benefits_denial,unawareness_proxy_removal,sex_x_age,intersectional_demographic_parity_diff,-0.04426902836606341,2,3
benefits_denial,unawareness_proxy_removal,sex_x_national_origin,intersectional_demographic_parity_diff,-0.06924396473323931,3,3
benefits_denial,unawareness_proxy_removal,sex_x_race,intersectional_demographic_parity_diff,-0.07553630411760305,3,3
compas,baseline,race,accuracy_equality_diff,-0.04192036648751263,3,3
compas,baseline,race,demographic_parity_diff,0.85803670165308,3,3
compas,baseline,race,disparate_impact_ratio,304.65488392281617,3,3
compas,baseline,race,equal_opportunity_diff,0.9221664187521453,3,3
compas,baseline,race,equalized_odds_diff,0.9221664187521453,3,3
compas,baseline,race,predictive_parity_diff,0.08997422519630098,1,3
compas,in_processing,race,accuracy_equality_diff,-0.20363232016179822,3,3
compas,in_processing,race,demographic_parity_diff,0.012154192519886503,2,3
compas,in_processing,race,disparate_impact_ratio,1.1403899001912572,2,3
compas,in_processing,race,equal_opportunity_diff,-0.003186791332254496,1,3
compas,in_processing,race,equalized_odds_diff,-0.0015439074591206876,1,3
compas,in_processing,race,predictive_parity_diff,0.24743421674225244,3,3
compas,post_processing,race,accuracy_equality_diff,0.08801997654007872,3,3
compas,post_processing,race,demographic_parity_diff,0.023946719731258764,0,3
compas,post_processing,race,disparate_impact_ratio,1.0369906490580132,0,3
compas,post_processing,race,equal_opportunity_diff,-0.019021990835335734,0,3
compas,post_processing,race,equalized_odds_diff,-0.019021990835335734,0,3
compas,post_processing,race,predictive_parity_diff,0.2694212949981298,3,3
compas,unawareness,race,accuracy_equality_diff,0.015115168273559298,0,3
compas,unawareness,race,demographic_parity_diff,0.17610964105099636,3,3
compas,unawareness,race,disparate_impact_ratio,1.3760623336022666,3,3
compas,unawareness,race,equal_opportunity_diff,0.131028954236614,3,3
compas,unawareness,race,equalized_odds_diff,0.1441274607941275,3,3
compas,unawareness,race,predictive_parity_diff,0.25007866771959025,3,3
compas,unawareness_proxy_removal,race,accuracy_equality_diff,0.13742010045241224,3,3
compas,unawareness_proxy_removal,race,demographic_parity_diff,0.11869997853407037,3,3
compas,unawareness_proxy_removal,race,disparate_impact_ratio,1.167366406918564,3,3
compas,unawareness_proxy_removal,race,equal_opportunity_diff,0.06777942146013476,3,3
compas,unawareness_proxy_removal,race,equalized_odds_diff,0.07629295962629301,3,3
compas,unawareness_proxy_removal,race,predictive_parity_diff,0.2627513956661553,3,3
